epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,880.106,0.96729,0.4417,0.00484,0.90538,0.89903,0.9528,0.637,1.05455,0.48284,0.00658,0.00643101,0.00643101,0.00643101
43,901.003,0.93115,0.46938,0.00471,0.92768,0.90822,0.96037,0.68211,0.98266,0.44382,0.00619,0.00628101,0.00628101,0.00628101
44,921.754,0.9002,0.43488,0.0045,0.88975,0.91584,0.95109,0.69325,0.96093,0.43355,0.00614,0.00612981,0.00612981,0.00612981
45,942.551,0.89761,0.42852,0.00455,0.9175,0.8828,0.95048,0.68011,1.01096,0.4599,0.0064,0.00597754,0.00597754,0.00597754
46,963.185,0.89947,0.43664,0.00439,0.85626,0.94137,0.95445,0.68958,0.96356,0.43774,0.00604,0.00582435,0.00582435,0.00582435
47,983.784,0.88206,0.43911,0.00439,0.91153,0.91166,0.95631,0.68962,0.93192,0.43666,0.00609,0.0056704,0.0056704,0.0056704
48,1004.42,0.84815,0.4102,0.00444,0.9266,0.8974,0.96726,0.67986,0.91821,0.42921,0.00602,0.00551584,0.00551584,0.00551584
49,1025.02,0.84971,0.40644,0.00435,0.88924,0.93875,0.96497,0.69256,0.90747,0.42289,0.00597,0.00536081,0.00536081,0.00536081
50,1045.58,0.8476,0.39303,0.0046,0.88998,0.92938,0.96438,0.69004,0.94507,0.4243,0.00593,0.00520548,0.00520548,0.00520548
51,1066.16,0.84821,0.39268,0.00449,0.8934,0.91535,0.96155,0.69441,0.91744,0.4211,0.00593,0.00505,0.00505,0.00505
52,1086.77,0.8246,0.39575,0.00425,0.90001,0.93057,0.96276,0.70268,0.88333,0.41574,0.00591,0.00489452,0.00489452,0.00489452
53,1107.42,0.81092,0.38783,0.00416,0.93837,0.97453,0.96677,0.70676,0.92101,0.40193,0.00598,0.00473919,0.00473919,0.00473919
54,1128.03,0.81312,0.39286,0.00397,0.91722,0.95224,0.96623,0.7144,0.85475,0.38383,0.00558,0.00458416,0.00458416,0.00458416
55,1148.77,0.79638,0.38817,0.00419,0.93194,0.9579,0.97468,0.72882,0.83808,0.34194,0.00548,0.0044296,0.0044296,0.0044296
56,1169.33,0.80009,0.38171,0.00402,0.93316,0.9669,0.97999,0.70653,0.92659,0.36426,0.00614,0.00427565,0.00427565,0.00427565
57,1190.11,0.78338,0.37481,0.00402,0.9355,0.96408,0.98003,0.70176,0.94926,0.36219,0.0062,0.00412246,0.00412246,0.00412246
58,1210.94,0.77305,0.37857,0.00392,0.9529,0.94845,0.9791,0.71664,0.87279,0.3688,0.00573,0.00397019,0.00397019,0.00397019
59,1231.78,0.7739,0.3651,0.00395,0.92875,0.96888,0.98043,0.71673,0.82344,0.35036,0.00544,0.00381899,0.00381899,0.00381899
60,1252.54,0.76753,0.34495,0.00385,0.94378,0.93429,0.98367,0.71081,0.86194,0.34907,0.00574,0.00366899,0.00366899,0.00366899
61,1273.27,0.73695,0.34038,0.00388,0.93089,0.96088,0.97777,0.71719,0.8766,0.3431,0.00567,0.00352037,0.00352037,0.00352037
62,1294.03,0.71849,0.34016,0.00374,0.94648,0.88752,0.96481,0.7176,0.86787,0.35724,0.00564,0.00337325,0.00337325,0.00337325
63,1314.83,0.72357,0.32432,0.00371,0.9085,0.95834,0.96361,0.72171,0.87904,0.34306,0.00572,0.00322778,0.00322778,0.00322778
64,1335.57,0.71477,0.31792,0.00355,0.94168,0.97047,0.96699,0.72427,0.85704,0.33195,0.00558,0.00308412,0.00308412,0.00308412
65,1356.22,0.72316,0.33882,0.00369,0.91741,0.9481,0.97464,0.71419,0.86015,0.34874,0.00555,0.00294239,0.00294239,0.00294239
66,1376.72,0.7048,0.34026,0.00361,0.93755,0.92943,0.9759,0.72511,0.81215,0.33193,0.00539,0.00280275,0.00280275,0.00280275
67,1397.45,0.68764,0.31531,0.00358,0.91551,0.95991,0.97694,0.70406,0.89346,0.3621,0.00581,0.00266532,0.00266532,0.00266532
68,1418.13,0.68789,0.32562,0.00366,0.9295,0.97546,0.97932,0.72238,0.80844,0.34085,0.00531,0.00253024,0.00253024,0.00253024
69,1438.81,0.69175,0.32749,0.00361,0.91214,0.9669,0.97451,0.72777,0.80758,0.36317,0.00535,0.00239766,0.00239766,0.00239766
70,1459.46,0.6707,0.31031,0.00342,0.93423,0.9598,0.97547,0.7372,0.79839,0.30953,0.00529,0.00226769,0.00226769,0.00226769
71,1480.08,0.68519,0.3182,0.00347,0.92793,0.95129,0.97188,0.74726,0.79121,0.31743,0.00523,0.00214046,0.00214046,0.00214046
72,1500.76,0.66202,0.3128,0.00342,0.90852,0.97069,0.98211,0.73048,0.8025,0.34773,0.00531,0.00201611,0.00201611,0.00201611
73,1521.38,0.671,0.32054,0.00353,0.95845,0.93074,0.98644,0.72855,0.81897,0.31614,0.00545,0.00189475,0.00189475,0.00189475
