epoch,class_id,class_name,precision,recall,ap50,ap50_95
52,0,rod,0.9110,0.8897,0.9458,0.6245
52,1,spring,0.8891,0.9714,0.9798,0.7809
53,0,rod,0.9143,0.9783,0.9484,0.6424
53,1,spring,0.9624,0.9708,0.9852,0.7711
54,0,rod,0.9290,0.9348,0.9552,0.6435
54,1,spring,0.9054,0.9697,0.9772,0.7853
55,0,rod,0.8969,0.9461,0.9611,0.6553
55,1,spring,0.9669,0.9697,0.9883,0.8023
56,0,rod,0.9158,0.9565,0.9743,0.6453
56,1,spring,0.9506,0.9773,0.9857,0.7677
57,0,rod,0.9157,0.9565,0.9756,0.6510
57,1,spring,0.9553,0.9716,0.9845,0.7525
58,0,rod,0.9520,0.9348,0.9739,0.6540
58,1,spring,0.9538,0.9621,0.9843,0.7793
59,0,rod,0.9164,0.9529,0.9777,0.6379
59,1,spring,0.9411,0.9848,0.9832,0.7956
60,0,rod,0.9304,0.8913,0.9811,0.6363
60,1,spring,0.9571,0.9773,0.9862,0.7853
61,0,rod,0.8960,0.9369,0.9686,0.6553
61,1,spring,0.9657,0.9848,0.9869,0.7790
62,0,rod,0.9497,0.8205,0.9447,0.6565
62,1,spring,0.9433,0.9545,0.9850,0.7787
63,0,rod,0.8963,0.9394,0.9410,0.6474
63,1,spring,0.9207,0.9773,0.9862,0.7960
64,0,rod,0.9178,0.9712,0.9482,0.6584
64,1,spring,0.9655,0.9697,0.9858,0.7901
65,0,rod,0.9126,0.9075,0.9636,0.6362
65,1,spring,0.9223,0.9887,0.9856,0.7922
66,0,rod,0.9128,0.8913,0.9641,0.6396
66,1,spring,0.9623,0.9676,0.9877,0.8107
67,0,rod,0.9149,0.9350,0.9676,0.6336
67,1,spring,0.9161,0.9848,0.9862,0.7745
68,0,rod,0.9372,0.9736,0.9754,0.6401
68,1,spring,0.9218,0.9773,0.9833,0.8047
69,0,rod,0.9201,0.9565,0.9648,0.6527
69,1,spring,0.9042,0.9773,0.9842,0.8028
70,0,rod,0.9155,0.9423,0.9609,0.6600
70,1,spring,0.9530,0.9773,0.9901,0.8144
71,0,rod,0.9146,0.9314,0.9535,0.6672
71,1,spring,0.9413,0.9712,0.9903,0.8274
72,0,rod,0.9151,0.9565,0.9740,0.6431
